,課程名稱,評價星等,評論數,總影片時長,觀看數,價格,課程簡介,評論標題,評論內容
11,【吉他伴奏大全】,4.76,17,62,834,1200,"讓吉他伴奏不再呆板，在不同的段落處可以明確地知道處理的手法，讓彈奏更有品味。
習得基本的前間尾奏設計方式，讓不是在伴奏時也有小秀一段的獨奏能力。","['太籠統，浪費時間', '很清楚明白 循序漸進～', '有幫助', '清楚明白', '結他伴奏大全', '適合有些吉他基礎的人', '視野又更寬廣了~~', 'GOOD', '課程實用更簡明', '教學涵蓋主題豐富', '對於技巧和創作很有用', '很實用的課程教學', '很受用', '有系統的吉他教學', '佛心吉他老師❤️', '很棒的一個課程', '值得購買的優秀課程']","['技術、概念簡單帶過，講解後很少範例操作\n\n（（需要驗證給學員看））\n\n很失望的內容\n\n例如：打板太簡單了，還以為是敲打琴身的「打板」\n\n原來是2018的商品了...難怪', '吉他的編曲概念', '對於學吉他提供許多進階的觀點，提供更多不同的彈奏方式，但有學過點吉他再多上課會比較好~', '很有用且精實，沒太多廢話。雖然課程時間不長，但每個都是精華，需要反覆思考', '非常有啟發性，能夠活學活用當中的技巧及技術，能很有效地提升我的結他伴奏技巧', '適合有些吉他基礎的人', '上了課程後，學到的東西更有系統也更多了，希望老師還能出更多吉他的課程!!!!', '課程實用～非常難練習～我是初學者', '很實用的課程教學', '課程深入淺出，並且有豐富的範例及講解', '讓我開始嘗試做fingerstyle的創作! 很有用的教學', '超實用的課程教學。謝謝。', '對於已經學會初階彈唱，覺得想要在學習更多，但又不知從何下手的我來說，有很多有幫助的觀念跟技巧，雖然課程中仍有很多例句還無法順利彈奏，但了解背後邏輯跟觀念，會常常打開來練習的。', '老師解說的內容是可以實際運用的，對於初級吉他學習者而言非常受用!', '我是從youtube上認識葉宇峻吉他老師的～老師在youtube上的教學課程其實已經很豐富齊全，但在hahow的這十堂課又更精要的講解吉他伴奏重點（像是垂勾滑技巧、節奏、打板）還附上練習譜。我想這個課程對於level還停在只會按基礎和弦加基本節奏的吉他手應該可以有更進一步的思想突破。', '非常實用的一個課程，了解到許多技巧應用跟觀念!', '豐富的範例 精細的解說\n尤其老師不嫌麻煩 線上回答\n是值得購買的優秀課程']"
12,和以莉高露一起學吉他,0.0,0,53,106,250,"彈奏出以莉高露""美好時刻""專輯中的兩首歌: ""美好時刻""和""倔強的微笑""",[],[]
13,藍調與爵士鋼琴的獨奏技巧與應用,5.0,6,327,149,3800,"1. 看單行的旋律譜即能彈出雙手的變化
2. 學會爵士和聲的應用，讓音樂擁有豐富的色彩
3. 彈出爵士的搖擺與藍調的經典風格
4. 擁有基本的變奏、即興與編曲能力
5. 進化彈奏能力， 感受爵士魅力！","['值得投資這堂課', '值得推薦的爵士鋼琴課程！！', '好棒的課程', '有深度的課程', '這是一堂含金量很高，滿滿乾貨的課程', '為什麼 我都沒收到開課通知']","['上完這堂課，真的有對爵士有進一步的了解，雖然還要搭配課後的練習，但是上課的內容真的非常的棒，讓我又更喜愛爵士樂了。\n因為老師好像要開新的課程，趕緊來推廣老師這門爵士鋼琴的課，然後我要去報名新的樂理課。', '林老師的課程清楚而詳盡，如果好好學習，慢慢消化…對於爵士鋼琴愛好者，一定收穫很多！\n這套課程整體輕鬆而流暢，加上豐富的內容、老師耐心的解說，是一套不可多得，值得推薦的好課程.', '林老師的這套爵士課程，內容豐富，解說詳盡，收穫滿滿', '老師教的很好，但實際要運用不簡單，等我融會貫通後，再把作業交出去.', '老師非常用心將12個調的jazz和弦終止式樂譜全部都整理出來，讓大家比較好對照練習，還一個步驟一個步驟仔細示範講解帶領學生練習，對於反應慢記性差的我來說，可以反覆的觀看內容真的是一大福音，謝謝老師充滿熱忱的錄製影片，留下影音，讓想踏入Jazz音樂的人獲益良多。', '為什麼 我都沒收到開課通知']"
14,爵士吉他入門訓練班,4.0,4,301,203,2800,"課程結束後，你可以開始彈奏一些爵士標準曲，對於爵士樂的再進修，會更有方向。
可以深度的分析曲子，讓你有能力去安排演奏的內容。
","['完全不爵士', '很多很棒的素材練習，累積吉他功力好選擇', '爵士吉他入門', '實用與理論兼具，且清楚好懂！']","['我在還不知道甚麼是爵士樂的時候買了這個課程, 邊看邊練習, 一邊想著, 這個好像跟我認知當中的爵士樂不太一樣, 反而比較趨近於學生時代學習搖滾樂或是流行樂的方式. 於是我才上網找了各式影片像是Chad LB, 或是Jens Larsen, 其後去買了Bruce Forman, Pasquale Grasso, Pat Martino,  Tomo Fujita的課程. 透過這些課程逐漸找到方向. 然後才完全理解為什麼一開始我覺得這個Hahow的課程一點都不爵士. 這個課程不外乎和弦指法, 音階, 節奏. 跟我所認知爵士樂所在意的練習自己的耳朵, 熟練和弦的組成以及其延伸音或是替代和弦, 最後能直覺且隨性的彈奏自己的聲音, 但是在其間聽眾能聽出原始歌曲旋律或是和弦進行, 兩者完全不一樣. 我不推薦想要學習爵士樂的吉他手買這個課程. 這個不是在教學爵士樂!!', '以往都只熟悉大三小三和弦，常彈奏的曲風也都是一般流行樂那種，彈久了自然覺得單調無新鮮感。上了老師的爵士吉他課，透過課程的教學還有練功區讓我可以有很多素材練習，除了更能熟悉七和弦應用而不再只會彈大小三芭樂和弦之外，曲風也從本來只熟悉流行歌到會欣賞並彈奏一點點爵士、拉丁曲風，是一門可以讓吉他彈奏更多元，並讓自己吉他技巧進步的一門課。對於已有彈吉他經驗的我而言，有很大的幫助，推', '非常棒的一套課程，淺顯易懂\n', '我是有點吉他基礎的人\n但是從學校社團開始接觸的\n所以通常都直接背和弦和指板音階\n樂理部分就非常缺乏 \n也很困擾於難以即興演奏與發揮\n\n非常喜歡吳老師在好學校開的兩門課程\n不但對於和絃的組成有清楚的了解\n而且附上精美的教材與練習\n可以邊學習樂理時，一邊自己拿著吉他去彈奏音階\n不會感到無聊，而且比較有成就感\n有點像算邏輯或是解開數學那種感覺\n\n雖然我只上了這門爵士入門的五分之一\n但我已經感受到自己與吉他有更親密的感覺\n有那種卡關卡很久 終於可以再進步的感動\n\n非常推薦這門課 給想更精進吉他的同學們\n一起活到老學到老～ 不放棄自己 XD']"
15,拯救你的樂理 - 現代音樂和聲學,5.0,32,436,745,2800,"分析曲子的能力，理解和弦進行的變化，音階的應用，大幅增強編曲創作的能力。
幫助你在演奏上的邏輯思維更有條理。","['音樂系學生想學更多現代音樂學', '很實用的課程', '課程評價', '很棒的課程', '內容充實!', '這是堂能道出樂音生命的樂理課', '對於初學樂理者很棒的教學!', '值回票價', '深入淺出好課程', '實用', '老師超棒的', '謝謝老師！', '很豐富的課程!感謝老師', '不錯!', '相當實用', '超值課程！', '樂理精華入門', '推薦', '教學品質超棒！！！', '教學品質超棒！！！', '謝了老師', '幫助理解和聲學的好課程！', '越來越有內容的樂理', '真的是拯救樂理啊！！！', '對我很有幫助的一門課', '適合所有想加強調式音階的樂手', '讓人「聽」懂樂理的好課程！', '超棒的課，謝謝叮噹老師～', '十分優秀的課程 十分優秀的分析及講解', '上課感想', '即戰力', '絕對是物超所值喔～～']","['老師上課內容清晰，有筆記，也配合功課，簡潔易明！', '老師講解清楚，很有系統，有真正學清楚樂理的感覺', '老師在課程裡清楚的講解，讓初學者打下良好的基礎。加上課程中有許多的練習題，增進熟練度，很棒！受益匪淺。', '很實用 內容豐富 CP值很高的課程！', '一開始沒想到內容如此豐富，感覺受益良多\n要搭配作業完成，會有更好的成效!', '以前國高中都學過樂理，但總是得不到一個能最直觀反映音階的方法，對於各種和弦與音階表達出的意涵也毫無頭緒，看到的只有一堆五線譜與背不完的名詞，到後面甚至一度抗拒學習樂理。但在這堂課內，老師不僅教學時所用的概念簡單易懂，且視覺化地呈現課程內容，並用心統整了每個章節的重點，我不僅學到了最直觀的和弦與音階推演方式，最重要的是：在配合樂器彈出老師教導的各種和弦進行時，我感受到了不同和弦與音階各自的生命與情感，看見了樂理的美。老師教的內容具有一定深度，可能聽一次不懂，但經過多次的複習，必定會收穫滿滿。絕對值回票價！', '對於初學樂理者，這部影片很值得~\n記得要先補一些最基本的五線譜概念再來看影片會更好唷!', '課程內容豐富精彩，由淺入深，非常值得！', '完整詳細的課程，對於樂理理解很有幫助!', '課程講解詳細', '超級優質的教程，絕對不虧，買就對了。', '搭配聲響的樂理課程真的很棒，看書常常都是看到滿頭問號，而且也常常因為太艱深難懂而不想接觸樂理，上了這門課終於比較有概念了，雖然後半部還是一知半解狀態，但網路課程可反覆觀看直到理解，真的不懂還可以問老師，所以整體來說ＣＰ值超高', '一開始是透過交大星聲社的同學推薦，希望能補強自己樂理的部分，也如同老師所說，其實吉他練到後面，不太知道自己在彈什麼，以及怎麼分析。上完這堂後比較能有系統的知道如何分析曲子！另外也很推薦給平常上班上課沒空的人，我是找時間慢慢上最後才完課的，而且也可以重複觀看，避免自己忘記或是觀念不清楚。\n很推薦給想學樂理的朋友~', '謝謝: )', '能學會分析曲子內容相當重要，獲益良多。', '上完課下來，覺得老師在樂理上有很深厚的底子，且又能循序漸進、有系統地將知識傳授給學生們。\n很多地方最後講解完後還不忘了幫我們做統整，真的很有幫助！\n\n某些章節真的有些難度，需要花時間重覆思考、重覆看，我大概花最久時間來回看的地方就是小調的某些章節了，不過這就是超值的地方啊，老師都在這堂課中把難的東西交給學生了！\n\n在課堂上若遇到不懂的問題，老師也都會很仔細回覆，而且回覆很快！\n十分有教學熱忱！\n\n所以真的很推薦這門課給對樂理、編曲和弦設計、創作有興趣的朋友們！', '對於自學者來說是福音啊！', '教學內容淺顯易懂，老師很用心', '上過很多樂理的課程，這堂課真的CP值超高，已崇拜', '非常棒的教學內容,\n淺顯易懂且循序漸進！\n非常值得購買！！！\n期待老師新的課程\n', '希望老師能繼續出課程\n\n', '課程講解與編排上個人認為脈絡清晰且循序漸進，老師回答問題也相當用心。\n這門課有幫助我釐清自己還不甚了解的一些樂理！\n推薦給想學習或加強和聲學的同學！', '老師在有限的時間之內，能把現在音樂的幾個重要的地方好好的說明，尤其小調已經超過自己的程度了，但是受益良多', '比較於仿間書本教材好太多了，我認為這樣影音式的解說更有幫助而且完整\n漸進式的教學，每個章節主題很明確也不會太過攏長\n一點一點的吸收，當有不清楚的地方一定要回去重複多看幾次\n頭腦打結混亂的話，還可以問老師，而且回覆速度超快\n我從來沒想過樂理會變得那麼有趣，非常感謝老師開了這物超所值的課程！！', '小時候學了好一陣子的鋼琴，當時的以為演奏就是照譜彈出來，樂理什麼的沒興趣也沒打算搞懂\n大學時候跟流行學了吉他，過程中發現很多因為不懂樂理而無法進步的地方，無論是自己買的教材或上網google想要充實樂理知識，訊息總是很片段、雜亂無章，還是有太多無法了解的地方，才知道樂理好重要\n這門和聲學課程的規劃很有系統性，內容也循序漸進，雖然對完全沒有樂理基礎的人來說可能稍微有些吃力，但對於有一些基礎樂理知識想要更進一步的人而言，我覺得是很值得推薦的課程\n上了這門課後第一次自己分析樂譜的和聲進行，那感覺如同文盲第一次看懂文字\n我相信這門課不可能講完所有的和聲學，但奠基在這些基礎上，很多自行搜尋的資料也比較能夠理解了！', '針對調式音階這塊，仿間書籍艱深難懂，但本課程有條不紊整理出各階音階調式所使的特徵音與禁用音，並在課堂中實際引領操作曲目分析，分析整樂譜的中心調以及各級和弦所能延伸的調式音階，對於想加強調式音階的朋友可別錯過喔 : )', '學習樂器的方式有許多種，但學好樂理的途徑選擇卻十分有限：透過書籍文字的理解常常讓我「聽懂」卻沒有「聽」懂，理解了理論但卻無法熟悉聲響，也難將和聲教科書上文字敘述的聽覺感受轉化成自己的聽覺經驗。\n\n這套課程最厲害、最能幫助我的是透過影片的呈現，融合了書籍的清晰有條理以及講師授課的聲音與文字互動，透過網路的幫助，讓我可以在學習時選擇一個最適當的聆聽環境，自己一邊操作樂器一邊跟著課程，更加事半功倍！\n\n謝謝吳為民老師的用心，希望未來還有更多進階的分析實例課程上市！', '很棒的課，雖然有難度，但是會加油的!謝謝叮噹老師～', '由淺入深 以及各種演奏示範\n詳細 並且 易懂 的樂理解說\n讓樂手在操作樂器時 更能譜出一段扣人心弦的樂曲\n謝謝老師開這堂課\n受益良多~~', '老師在有限的時間之內，能把現在音樂的幾個重要的地方好好的說明，我自己感到受用無窮，雖然後面慢慢已經超過自己的程度了，努力的重聽不懂的部份中，但最棒的就是可以一直重聽到懂為止。大力推薦對音樂有興趣，或是已經學過幾年樂器的人來上這個課程，對自己對於音樂的認識有大大的幫助。也能了解音樂是怎麼被創作出來的。', '課程單元分得很詳細\n實例配合講解清楚\n圖像輔助讓講解更清楚\n可以馬上應用很有幫助', '請大家好好把握！  佛心價格']"
16,基礎音樂製作 - Ableton Live,4.91,11,186,245,750,使用Ableton Live把一首歌製作出來,"['課程的安排很有條理, 清晰易懂~~', '讚~', '好', '真的優質', '簡單清楚講解', '不錯', '物超所值', '五顆星', '說明得很清楚', '課程內容、教學講義完整', '非常推薦給想學Ablenton live這套錄音工作站的學生這個課程!']","['課程的安排很有條理, 清晰易懂, 學到很多音樂製作方面的知識~~', '了解製作一首歌需要買的配備，\n和音樂軟體的使用方式，\n謝謝老師附上的補充文章，很有用。\n對編曲沒有什麼概念和基礎，第一次接觸daw軟體，\n老師說得滿詳細的，後面的內容不太懂，多看了幾遍。\n', '好', '老師口條非常清晰，有問題直接寄郵件給老師老師也都很熱心回答 ，真的是一個很推薦給大家的課程!', '非常口語 清楚的說明講解  對於初學者的觀念幫助不少  值得推薦', '讚', '特別放大操作畫面解說有助於學習者跟上老師講課的節奏，示範歌曲製作流程講解超詳細，值得推薦！', '課程很淺顯易懂，課程漸進式的更能了解錄製的細解。', '蠻清楚的課程，老師很清楚的說明了有關使用Ableton Live進行宅錄時的程序與需要注意的事項，讓第一次使用這軟體的我也能迅速上手使用', '課程內容、教學講義完整', '1.課堂講解簡單且清楚，讓完全新手的我也順利錄音完成以及混音出一首歌曲\n2.上完課後的問題討論，老師回覆快速且確實解決學生問題\n3.老師講義中的文章以及部落格，幫助到我學到很多課堂沒有的進階應用和觀念']"
17,音樂創作原來這麼簡單！,4.84,19,49,380,600,"不再只是唱、演奏別人的作品，也快表演屬於自己的作品吧!!!
學會創作後不只能寫歌，在樂器上也能創作表演、甚至加入即興喔。","['適合想學創作和即興的初學者', '本人音樂系學生因手術休學在家進修', '淺顯易懂', '一堂即使願意花錢也很難找到且很不錯的課程', '提點了我很大的重點', '音樂創作課', '讚', '音樂創作原來這麼簡單！', '淺顯易懂', '適合入門者並有些許樂理知識者', '音樂創作原來這麼簡單！', '言簡意賅', '淺顯易懂的入門教學', '適合剛接觸創作的人', '讚', '很詳細說明', '詳細用心', '很用心：）', '錄音品質與現場燈光整體效果很好']","['可能因為課程章節精簡，教學比較屬於入門和個人經驗分享。\n', '本人音樂系學生，因手術必須休學待在家一段時間，老師的課生動有趣讓我暫時忘記病痛，內容經老師整理後也簡潔易明，希望老師能開設更多樂理或音樂概論課程！', '要在短時間能詮釋音樂創作這個大主題,不是很容易,不過老師表達的讓初學者能不畏懼的認識和絃,很不錯', '對於流行樂的創作原理講解的很有條理,且讓人易於明白，真的是一堂CP值超高的好課!', '我學過鋼琴，想要探索伴奏。我背過大小增減屬這些東西，但是仍不知道該如何創作，做出一首曲子。這門課省去很多嚇人的枝微末節，讓我有信心開始著手練習和創作（不過同樣的，因為這門課比較簡要，應該適用於已有點樂理底子，但不知該如何創作的人）。感謝小威老師！', '老師解說清楚，適合有樂理、和弦基礎。\n拿講義和絃，去試按鋼琴，有感覺到小調的悲傷感。', '謝謝老師簡潔有力的分享，自己是學古典鋼琴的，\n藉此學習到流行音樂的架構。', '課程不長但淺顯易懂', '老師的課程內容非常淺顯易懂，非常適合對作曲有興趣的初學者。本身有在創作音樂，但不知道自己還可以怎麼進步，上完老師的課後，發現自己對於和弦進行、和弦的種類等和弦名稱還有很大的進步空間，所以上完課後我有更清楚知道自己的問題所在，把上報名了另一堂和聲學！', '對創作入門能提供基本的常識概念', '淺顯易懂，言簡意賅，獲益良多，謝謝老師~', '雖然課程很短，但課程內容完整，沒有廢話，都是重點，適合創作入門，建議有一點和弦基礎會比較容易上手。', '親民的價格，也讓我在短時間內複習到我這陣子看過的很多影片與書籍，覺得更了解大家所說的一些做音樂的簡易架構，更想踏入流行音樂製作，創作出屬於自己的歌曲！', '內容有簡單的樂理\n還有創作的一些邏輯跟原理\n適合創作入門', '用很少的課時講解了流行歌的基本組成元素，不走學術派甩一堆譜和術語，很輕鬆就能進入狀況～～', '老師詳細的講解，即使是用影片的方式上課也覺得學到很多！', '對小威老師的第一堂音樂創作課程 讓我在作曲有著更多的認識 謝謝老師!', '感謝這麼好的課程', '錄音品質與現場燈光整體效果很好，運用良好的教學環境，可以為課程進行加分!!超棒的']"
18,三步驟學會即興演奏爵士樂,4.71,14,167,219,2800,"1.爵士「即興演奏 Improvise 」的能力
2.爵士 Harmony 和聲結構，將所有大眾曲目改編成爵士版本的方式 
3.Swing( 搖擺), Bossanova (巴薩諾瓦)的節奏特性說明及演奏方式
4.爵士輕鬆作曲的能力
5.即興不看譜演奏能力 
6.簡單又系統化的教學方式，與自己的樂器談戀愛，愛上音樂的訣竅!","['初學者友善', '不錯的課程', '從簡到難', '言簡意賅，有趣易懂', '簡明易懂', '很仔細的內容', '爵士入門級', '非常用心的課程', '適合作為爵士入門的課程', '用心的教學', '循序漸進', '失望', '多練習', '很棒的課程']","['老師教學的方式輕鬆易懂、架構清晰', '我是學古典鋼琴，想了解學會即興爵士樂,上完課程收穫很多,但是和古典樂有很大的落差.但不後悔上這門課.', '老師講解清楚,很親切。', '1、老師講解清楚，非常適合爵士初學入門。\n2、老師說話不拖泥帶水，卻能把重點都說到，這樣的上課方式非常棒。\n3、每個章節都有東西可以練習，而且整體從簡單到稍難，老師也都有親自示範演奏可以參考。\n4、很有趣的課程，讓人意猶未盡，希望之後能開更多更深入的爵士課程!', '老師上課言簡意賅。但是正中要點。非常好的上課模式。我喜歡', '老師十分仔細的講解課程，很棒的內容', '從和弦、節奏、旋律切入爵士的基礎。\n要全部練完、練熟需要一些時間。\n最後一個單元還不完整。或者說，可以開另一個套課程了。\n\n', '課程簡單易懂，由淺入深，老師也會很有耐心的回答任何問題。是非常值得的課程。', '課程整體而言並不算太難，上完課後能獲得一些方向，並開始進行一些簡單的即興演奏，是套蠻適合作為Jazz入門的課程。', '老師從最基本的Jazz理論開始說明，解答了一些問題，感謝老師貼心的服務，時常關心學生們的學習狀態，並不吝分享所學，學員們滿是幸福呢～～', '老師親切，上課有收穫！！自己要努力，新年新願望 要好好學', '即興元素使用方法太少了，有騙錢的嫌疑', '學習就是要不斷練習的。', '很棒的課程，解說也很詳細！\n謝謝老師']"
19,音樂人必學，編曲製作心法,4.82,11,303,276,2199,"1. 將強化本身關於音樂的編曲概念。 
2.你對任何曲風的音樂，都會有一定的編曲掌握能力。 ","['不只是編曲技術上的學習', '真的是對剛接觸logicＸ的新手幫助超大', '實用，適合入門', '很系統化且易懂的課程', '老師很用心', '老師真的超級用心！', '架構清楚，方法實用', '課程回饋', '用心教學', '推薦給想嘗試學習「編曲」的初學者', '期待這門課超級久，完全沒有讓人失望！']","['前面有從影片學習Logic Pro的操作技巧，\n這次學到編曲需要考量到的基本元素，\n包括素材的加減法，\n此外也學到不同曲風的編曲變化，\n是一門有編曲軟體基本功的學生值得去學習的課程。', '謝謝老師用心製作的課程，LogicX從0開始我已經看完兩次了，真的是收穫滿滿。\n\n謝謝老師對提攜台灣音樂新手的心意，我們也會加油的。', '用清楚易懂的方式，直截了當從實務角度告訴你樂曲是怎麼編出來的。很享受拆解學習一首歌來分析的過程。\n', '課程中學習到的聲音的六種屬性對編曲很有幫助。\n是值得一再回來複習並應用在編曲實務上。\n學習完後也較為清楚目前在編曲上應該增進的部分有哪些。', '內容講解得很詳細', '從0到有真的很讚🫶🏻', '非常適合剛接觸編曲的新手，提供了很完整明確的創作方向與流程步驟，謝謝老師！', '謝謝老師 非常喜歡最後一個單元的內容 很實用', '設計的章節清楚明瞭，\n能夠開始由淺入深地上手這個軟體；\n課程中的說明清晰，\n若有不懂的地方也可留言發問，\n老師也會細心講解。\n', '這個課程以「編曲」為主，\n所以也相對需要有較基本的音樂知識才好理解內容。\n\n老師除了介紹編曲所需的元素，\n在課程裡也帶領學生把原本一首單純只有旋律與和弦的歌，\n慢慢的隨著課程的進度加上裝飾，變成編曲過後的樣子。\n\n除了一步一步提供方法把作品完成，也有提供一些基礎樂理給學生參考。\n如果你已經是能寫出創作，但對於「編曲」還沒有概念、\n甚至開始想為自己曲子增色，卻苦於不知如何下手、從何下手的人、\n或是想要完成一首抒情流行曲風的編曲的人，\n這個課程內提供的方法能有助於你發想，甚至完成這件事。\n', '非常優質的內容！對於本身是鼓手的我來說 \n想要跨足其他領域，超級適用或者說實用 ～']"
20,從 iPad 入門 - 音樂製作 & 影像剪輯,5.0,15,285,373,1000,"1. 用最簡單的工具獨立完成一支音樂影片。
2. 了解音樂製作方面的流程，若有興趣可再專精音樂方面的造詣。
3. 對於身處於充滿短片、微電影宣傳的時代，不需要使用艱深的影像軟體，即能了解並入門學習。","['很棒！', '非常適合初學者', '內容很好', '內容實用', '符合預期，快速了解整個流程，老師親切', '內容充實', '淺顯易懂', '大推，初學者也能貼懂。', '很適用的課程', '用心的一堂課', '實用且平易近人', '內容仔細而且實用', '非常棒', '讚👍', '課程實用 用心']","['超棒！', '期待進階課程', '雖然仍有一些沒攪懂的地方，但內容很好，謝謝老師悉心講解和回應，讓我可製作出自己的音樂，老師的聲音很親切。', '很實用很棒', '符合預期，老師用一首短短的歌當範例，走了一遍錄製、混音、影片製作的整個流程，幫助我快速了解用 IPAD 完成一個 MV 所需的步驟，老師的聲音也很親切，課程整體很滿意，謝謝!', '內容充實,能了解基本的原理', '蠻實用的 淺顯易懂~', 'jump2482@gmail.com', '感謝老師無私的分享和教導，受益良多！', '感謝老師的無私分享同時可學到音樂製作和影像剪輯', '老師講得很清楚仔細', 's92080023@gmail.com', 'diberlin@gmail.com', '謝謝老師無私分享', '課程實用 用心\n老師回覆問題也很快\naaa220828@yahoo.com.tw\n']"
21,冠軍 DJ DinPei－帶你從零開始成為專業 DJ,5.0,9,311,178,2900,"① 建立良好的 DJ 觀念
② 學會專業的放歌軟體
③ 打好關鍵的接歌基礎
④ 踏上專業 DJ 的道路
⑤ 完成自己的 Mixtape","['感謝老師帶領我進入DJ世界', 'CP值超高的DJ課程', '很棒很充實的內容~!', '上課內容一聽就懂', '大推DJ初學者首選', '新手首選', '謝謝老師的課程規劃，幫助到我很多!', '讓我更了解音樂的一切', '詳細概念清楚的好課程']","['一開始看課程介紹的時候，發現老師示範的Serato不支援我已經購買的DDJ-400，本來有點猶豫到底要不要付費，後來覺得影片的講解，拍攝，剪輯看起來都很清楚明瞭，所以就不再糾結軟體跟控制器不一樣的問題。\n上完全部課程後覺得幸好自己做了這個決定，因為以初學者會使用到的功能其實兩款軟體跟控制器都全部支援，頂多就是一些按鍵配置不太一樣，完全不影響學習跟練習。（我的觀察是serato在FX有比較細微的操作，rekordbox好像在loop有比較多著墨）\n我覺得上完課只是一個開始，讓我建立了對DJ的認識，也學到許多觀念與基本技巧，感謝老師跟製作團隊的用心，真心推薦想要進入DJ世界但還不知道從何下手的你也一起加入', '一氣呵成的把整個課程看完，非常完整的從入門到專業!!!', '拖了好長的時間終於把課程看完了\n很詳細的教大家一些技巧\n老師也很有耐心地幫大家解答過程上大家遇到的問題\n也會跟學生分享自己在職場上遇到的一些問題跟心得\n如果有機會現場教學一定會更有趣更詳細\n謝謝老師的指導與分享!', '完全從零開始也可以聽懂，不用擔心甚麼專業術語', '很專業清楚的內容 細心回答每個問題\n學到太多DJ的東西\n太愛老師了~感謝~~ ', '課程架構非常實用\n本來還擔心自己從0開始會學不會\n超讚👍🏻👍🏻', '原本不太知道該從哪裡開始，覺得範圍很廣很遙遠，但跟著老師的課一步一步走，突然幫助我找到目標，開始有成就感跟練習的動力!', '這個課程解決了我很多的疑問還有老師講的很清楚再觀念放歌要注意的地方細節都講解的很好，讓歌卻帶著我進步💪', '一開始看似很複雜  但老師一步一步有節奏的講解\n內容詳細、概念清晰  快速的學習到如何製作出一個自己的小Set\n是一個適合對DJ有興趣  穩穩打好基礎的入門教學課程\n']"
22,電音製作入門：EDM 編曲攻略！,4.25,4,245,84,2500,"製作一首電音舞曲或是電音歌曲
","['對於沒有概念的人適合', '簡單易上手的課程', '課程有系統 ', '教學太淺 價格過高']","['適合沒有學過音樂跟音樂編修的人', '運用Cubase內建有進階的課程的音源軟體創作電音作品非常容易上手，希望未來可以開設不同風格的電音編曲課程。', '課程有系統  可以入門電音   謝謝老師🙂', '希望能把課程補充的更完整，內容基本上只適合完全不懂電音或音樂製作的人，個人認為離入門還有距離 感覺像是介紹軟體及推廣另一套而已，對於有一點知識的人來說沒什麼幫助...(沒有惡意，只是希望能把曲風的編排及調音做的更加詳細)']"
